STT,ID_img,ppm,note
1,1CYM9_ngochanpham274@gmail.com_2024-12-12 10_42_03_No2-_2ppm_001_Nokia test_10.876824_106.6782506.jpg,2,001_Nokia test_10.876824_106.6782506.jpg
2,1Hzwu_ngochanpham274@gmail.com_2024-12-12 10_29_24_No2-_0.04ppm_003_Nokia test_10.8768404_106.6782455.jpg,0.04,003_Nokia test_10.8768404_106.6782455.jpg
3,3xtSD_ngochanpham274@gmail.com_2024-12-12 10_43_12_No2-_4ppm_001_Nokia test_10.876824_106.6782506.jpg,4,001_Nokia test_10.876824_106.6782506.jpg
4,4h0r3_ngochanpham274@gmail.com_2024-12-12 10_30_36_No2-_0.05ppm_003_Nokia test_10.8768404_106.6782455.jpg,0.05,003_Nokia test_10.8768404_106.6782455.jpg
5,4kKBz_ngochanpham274@gmail.com_2024-12-12 10_36_39_No2-_0.25ppm_003_Nokia test_10.8768404_106.6782455.jpg,0.25,003_Nokia test_10.8768404_106.6782455.jpg
6,4lRYo_ngochanpham274@gmail.com_2024-12-12 10_38_01_No2-_0.5ppm_003_Nokia test_10.8768404_106.6782455.jpg,0.5,003_Nokia test_10.8768404_106.6782455.jpg
7,5dKZA_ngochanpham274@gmail.com_2024-12-12 10_44_30_No2-_6ppm_003_Nokia test_10.876824_106.6782506.jpg,6,003_Nokia test_10.876824_106.6782506.jpg
8,6bWwl_ngochanpham274@gmail.com_2024-12-12 10_45_45_No2-_8ppm_003_Nokia test_10.876824_106.6782506.jpg,8,003_Nokia test_10.876824_106.6782506.jpg
9,79vbK_ngochanpham274@gmail.com_2024-12-12 10_24_51_No2-_0.01ppm_002_Nokia test_10.8768404_106.6782455.jpg,0.01,002_Nokia test_10.8768404_106.6782455.jpg
10,9wlxE_ngochanpham274@gmail.com_2024-12-12 10_40_58_No2-_0.9ppm_003__10.876824_106.6782506.jpg,0.9,003__10.876824_106.6782506.jpg
11,Acz0c_ngochanpham274@gmail.com_2024-12-12 10_36_01_No2-_0.2ppm_003_Nokia test_10.8768404_106.6782455.jpg,0.2,003_Nokia test_10.8768404_106.6782455.jpg
12,aD24z_ngochanpham274@gmail.com_2024-12-12 10_39_12_No2-_0.75ppm_003_Nokia test_10.8768404_106.6782455.jpg,0.75,003_Nokia test_10.8768404_106.6782455.jpg
13,AdEiG_ngochanpham274@gmail.com_2024-12-12 10_39_00_No2-_0.75ppm_002_Nokia test_10.8768404_106.6782455.jpg,0.75,002_Nokia test_10.8768404_106.6782455.jpg
14,BFW5O_ngochanpham274@gmail.com_2024-12-12 10_33_46_No2-_0.08ppm_003_Nokia test_10.8768404_106.6782455.jpg,0.08,003_Nokia test_10.8768404_106.6782455.jpg
15,bjkCn_ngochanpham274@gmail.com_2024-12-12 10_38_35_No2-_0.6ppm_003_Nokia test_10.8768404_106.6782455.jpg,0.6,003_Nokia test_10.8768404_106.6782455.jpg
16,bNY8R_ngochanpham274@gmail.com_2024-12-12 10_26_52_No2-_0.02ppm_003_Nokia test_10.8768404_106.6782455.jpg,0.02,003_Nokia test_10.8768404_106.6782455.jpg
17,bwBK8_ngochanpham274@gmail.com_2024-12-12 10_39_37_No2-_0.8ppm_002_Nokia test_10.8768404_106.6782455.jpg,0.8,002_Nokia test_10.8768404_106.6782455.jpg
18,c5rWP_ngochanpham274@gmail.com_2024-12-12 10_46_31_No2-_10ppm_001_Nokia test_10.876824_106.6782506.jpg,10,001_Nokia test_10.876824_106.6782506.jpg
19,cJQai_ngochanpham274@gmail.com_2024-12-12 10_26_22_No2-_0.02ppm_001_Nokia test_10.8768404_106.6782455.jpg,0.02,001_Nokia test_10.8768404_106.6782455.jpg
20,Cm0zG_ngochanpham274@gmail.com_2024-12-12 10_40_06_No2-_0.9ppm_001_Nokia test_10.8768404_106.6782455.jpg,0.9,001_Nokia test_10.8768404_106.6782455.jpg
21,dOueS_ngochanpham274@gmail.com_2024-12-12 10_32_56_No2-_0.075ppm_003_Nokia test_10.8768404_106.6782455.jpg,0.075,003_Nokia test_10.8768404_106.6782455.jpg
