STT,ID_img,ppm,note
1,0iOM6_ngochanpham274@gmail.com_2024-11-21 12_52_30_NH3_5ppm_003_samsung test__.jpg,5,003_samsung test__.jpg
2,"1iVDC_ngochanpham274@gmail.com_2024-11-21 12_04_02_NH3_0,25ppm_003_samsung test__.jpg",0.25,003_samsung test__.jpg
3,"2qR82_ngochanpham274@gmail.com_2024-11-21 12_00_28_NH3_0,09ppm_001_samsung test__.jpg",0.09,001_samsung test__.jpg
4,"3iW5i_ngochanpham274@gmail.com_2024-11-21 11_48_30_NH3_0,01ppm_003_samsung test_10.8768228_106.6782789.jpg",0.01,003_samsung test_10.8768228_106.6782789.jpg
5,"3IwPn_ngochanpham274@gmail.com_2024-11-21 11_59_52_NH3_0,075ppm_003_samsung test__.jpg",0.075,003_samsung test__.jpg
6,4fkPP_ngochanpham274@gmail.com_2024-11-21 12_50_09_NH3_4ppm_001_samsung test__.jpg,4,001_samsung test__.jpg
7,"5RgJx_ngochanpham274@gmail.com_2024-11-21 11_55_08_NH3_0,05ppm_002_samsung test_10.8768228_106.6782789.jpg",0.05,002_samsung test_10.8768228_106.6782789.jpg
8,5ufqX_ngochanpham274@gmail.com_2024-11-21 12_47_34_NH3_1ppm_002_samsung test__.jpg,1,002_samsung test__.jpg
9,"6jN5i_ngochanpham274@gmail.com_2024-11-21 12_01_17_NH3_0,09ppm_003_samsung test__.jpg",0.09,003_samsung test__.jpg
10,"75RLc_ngochanpham274@gmail.com_2024-11-21 11_54_37_NH3_0,05ppm_001_samsung test_10.8768228_106.6782789.jpg",0.05,001_samsung test_10.8768228_106.6782789.jpg
11,7XsSn_ngochanpham274@gmail.com_2024-11-21 13_00_27_NH3_10ppm_003_samsung test__.jpg,10,003_samsung test__.jpg
12,"89K41_ngochanpham274@gmail.com_2024-11-21 11_56_45_NH3_0,06ppm_002_samsung test_10.8768228_106.6782789.jpg",0.06,002_samsung test_10.8768228_106.6782789.jpg
13,"8k7cP_ngochanpham274@gmail.com_2024-11-21 11_47_33_NH3_0,01ppm_001_samsung test_10.8768228_106.6782789.jpg",0.01,001_samsung test_10.8768228_106.6782789.jpg
14,"a7HIj_ngochanpham274@gmail.com_2024-11-21 11_59_08_NH3_0,075ppm_001_samsung test__.jpg",0.075,001_samsung test__.jpg
15,"afep0_ngochanpham274@gmail.com_2024-11-21 11_59_33_NH3_0,075ppm_002_samsung test__.jpg",0.075,002_samsung test__.jpg
16,aPyVs_ngochanpham274@gmail.com_2024-11-21 12_58_12_NH3_8ppm_002_samsung test__.jpg,8,002_samsung test__.jpg
17,"aSt8Q_ngochanpham274@gmail.com_2024-11-21 11_55_27_NH3_0,05ppm_003_samsung test_10.8768228_106.6782789.jpg",0.05,003_samsung test_10.8768228_106.6782789.jpg
18,"Beiuv_ngochanpham274@gmail.com_2024-11-21 12_02_37_NH3_0,2ppm_003_samsung test__.jpg",0.2,003_samsung test__.jpg
19,bm4Wz_ngochanpham274@gmail.com_2024-11-21 12_48_04_NH3_1ppm_003_samsung test__.jpg,1,003_samsung test__.jpg
20,"CuO7V_ngochanpham274@gmail.com_2024-11-21 12_03_36_NH3_0,25ppm_002_samsung test__.jpg",0.25,002_samsung test__.jpg
21,E340h_ngochanpham274@gmail.com_2024-11-21 12_47_03_NH3_1ppm_001_samsung test__.jpg,1,001_samsung test__.jpg
22,"ffjYf_ngochanpham274@gmail.com_2024-11-21 12_38_01_NH3_0,6ppm_001_samsung test__.jpg",0.6,001_samsung test__.jpg
23,"g8YQk_ngochanpham274@gmail.com_2024-11-21 12_44_30_NH3_0,75ppm_003_samsung test__.jpg",0.75,003_samsung test__.jpg
24,"gfpbF_ngochanpham274@gmail.com_2024-11-21 11_53_47_NH3_0,04ppm_003_samsung test_10.8768228_106.6782789.jpg",0.04,003_samsung test_10.8768228_106.6782789.jpg
25,"guVRF_ngochanpham274@gmail.com_2024-11-21 12_04_42_NH3_0,4ppm_001_samsung test__.jpg",0.4,001_samsung test__.jpg
26,"h2Uz1_ngochanpham274@gmail.com_2024-11-21 12_56_28_NH3_7,5ppm_002___.jpg",7.5,002___.jpg
27,"KAGc0_ngochanpham274@gmail.com_2024-11-21 12_00_57_NH3_0,09ppm_002_samsung test__.jpg",0.09,002_samsung test__.jpg
28,"KCDt0_ngochanpham274@gmail.com_2024-11-21 12_01_52_NH3_0,2ppm_001_samsung test__.jpg",0.2,001_samsung test__.jpg
29,"KGJIU_ngochanpham274@gmail.com_2024-11-21 12_56_05_NH3_7,5ppm_001___.jpg",7.5,001___.jpg
30,l4ubk_ngochanpham274@gmail.com_2024-11-21 12_54_53_NH3_6ppm_002___.jpg,6,002___.jpg
31,"Lvewy_ngochanpham274@gmail.com_2024-11-21 11_52_09_NH3_0,025ppm_003_samsung test_10.8768228_106.6782789.jpg",0.025,003_samsung test_10.8768228_106.6782789.jpg
32,"m1cIl_ngochanpham274@gmail.com_2024-11-21 11_48_07_NH3_0,01ppm_002_samsung test_10.8768228_106.6782789.jpg",0.01,002_samsung test_10.8768228_106.6782789.jpg
33,"m5U9e_ngochanpham274@gmail.com_2024-11-21 11_51_24_NH3_0,025ppm_001_samsung test_10.8768228_106.6782789.jpg",0.025,001_samsung test_10.8768228_106.6782789.jpg
34,mfKfm_ngochanpham274@gmail.com_2024-11-21 12_51_00_NH3_4ppm_003_samsung test__.jpg,4,003_samsung test__.jpg
35,"n5Ffa_ngochanpham274@gmail.com_2024-11-21 11_50_21_NH3_0,02ppm_003_samsung test_10.8768228_106.6782789.jpg",0.02,003_samsung test_10.8768228_106.6782789.jpg
36,nLnhx_ngochanpham274@gmail.com_2024-11-21 12_48_41_NH3_2ppm_001_samsung test__.jpg,2,001_samsung test__.jpg
37,"nucal_ngochanpham274@gmail.com_2024-11-21 12_45_51_NH3_0,8ppm_002_samsung test__.jpg",0.8,002_samsung test__.jpg
38,"PWJIt_ngochanpham274@gmail.com_2024-11-21 12_02_16_NH3_0,2ppm_002_samsung test__.jpg",0.2,002_samsung test__.jpg
39,QbYCt_ngochanpham274@gmail.com_2024-11-21 12_52_09_NH3_5ppm_002_samsung test__.jpg,5,002_samsung test__.jpg
40,Qe5iL_ngochanpham274@gmail.com_2024-11-21 12_49_00_NH3_2ppm_002_samsung test__.jpg,2,002_samsung test__.jpg
41,qzuvv_ngochanpham274@gmail.com_2024-11-21 12_58_48_NH3_8ppm_003_samsung test__.jpg,8,003_samsung test__.jpg
42,"RJ5m1_ngochanpham274@gmail.com_2024-11-21 12_05_07_NH3_0,4ppm_002_samsung test__.jpg",0.4,002_samsung test__.jpg
43,"RztkA_ngochanpham274@gmail.com_2024-11-21 12_57_05_NH3_7,5ppm_003___.jpg",7.5,003___.jpg
44,"S5UFV_ngochanpham274@gmail.com_2024-11-21 12_45_31_NH3_0,8ppm_001_samsung test__.jpg",0.8,001_samsung test__.jpg
45,SBY8O_ngochanpham274@gmail.com_2024-11-21 12_54_27_NH3_6ppm_001___.jpg,6,001___.jpg
46,"SNREN_ngochanpham274@gmail.com_2024-11-21 11_49_58_NH3_0,02ppm_002_samsung test_10.8768228_106.6782789.jpg",0.02,002_samsung test_10.8768228_106.6782789.jpg
47,"sUpNq_ngochanpham274@gmail.com_2024-11-21 12_46_14_NH3_0,8ppm_003_samsung test__.jpg",0.8,003_samsung test__.jpg
48,"sxi1U_ngochanpham274@gmail.com_2024-11-21 12_42_43_NH3_0,75ppm_001_samsung test__.jpg",0.75,001_samsung test__.jpg
49,"tJSPL_ngochanpham274@gmail.com_2024-11-21 12_42_59_NH3_0,75ppm_002_samsung test__.jpg",0.75,002_samsung test__.jpg
50,"tp9X1_ngochanpham274@gmail.com_2024-11-21 11_53_22_NH3_0,04ppm_002_samsung test_10.8768228_106.6782789.jpg",0.04,002_samsung test_10.8768228_106.6782789.jpg
51,"UOAci_ngochanpham274@gmail.com_2024-11-21 11_49_34_NH3_0,02ppm_001_samsung test_10.8768228_106.6782789.jpg",0.02,001_samsung test_10.8768228_106.6782789.jpg
52,V2wTf_ngochanpham274@gmail.com_2024-11-21 12_51_48_NH3_5ppm_001_samsung test__.jpg,5,001_samsung test__.jpg
53,"VGlsW_ngochanpham274@gmail.com_2024-11-21 11_58_21_NH3_0,06ppm_003_samsung test__.jpg",0.06,003_samsung test__.jpg
54,Vxzpp_ngochanpham274@gmail.com_2024-11-21 12_49_21_NH3_2ppm_003_samsung test__.jpg,2,003_samsung test__.jpg
55,welAT_ngochanpham274@gmail.com_2024-11-21 12_53_09_NH3_6ppm_001_samsung test__.jpg,6,001_samsung test__.jpg
56,wgO0S_ngochanpham274@gmail.com_2024-11-21 13_00_04_NH3_10ppm_002_samsung test__.jpg,10,002_samsung test__.jpg
57,"woLH1_ngochanpham274@gmail.com_2024-11-21 11_52_57_NH3_0,04ppm_001_samsung test_10.8768228_106.6782789.jpg",0.04,001_samsung test_10.8768228_106.6782789.jpg
58,"xVfS7_ngochanpham274@gmail.com_2024-11-21 12_05_27_NH3_0,4ppm_003_samsung test__.jpg",0.4,003_samsung test__.jpg
59,"yDrOS_ngochanpham274@gmail.com_2024-11-21 11_51_44_NH3_0,025ppm_002_samsung test_10.8768228_106.6782789.jpg",0.025,002_samsung test_10.8768228_106.6782789.jpg
60,yfodQ_ngochanpham274@gmail.com_2024-11-21 12_57_51_NH3_8ppm_001_samsung test__.jpg,8,001_samsung test__.jpg
61,"yvAOg_ngochanpham274@gmail.com_2024-11-21 12_39_33_NH3_0,6ppm_002_samsung test__.jpg",0.6,002_samsung test__.jpg
62,"ZaAYC_ngochanpham274@gmail.com_2024-11-21 12_03_18_NH3_0,25ppm_001_samsung test__.jpg",0.25,001_samsung test__.jpg
63,zabnq_ngochanpham274@gmail.com_2024-11-21 12_55_24_NH3_6ppm_003___.jpg,6,003___.jpg
64,"zfoUU_ngochanpham274@gmail.com_2024-11-21 11_56_16_NH3_0,06ppm_001_samsung test_10.8768228_106.6782789.jpg",0.06,001_samsung test_10.8768228_106.6782789.jpg
65,zQtpt_ngochanpham274@gmail.com_2024-11-21 12_50_29_NH3_4ppm_002_samsung test__.jpg,4,002_samsung test__.jpg
66,ZrrcB_ngochanpham274@gmail.com_2024-11-21 12_59_42_NH3_10ppm_001_samsung test__.jpg,10,001_samsung test__.jpg
