STT,ID_img,ppm,note
1,0sv9g_ngochanpham274@gmail.com_2024-11-29 11_27_21_NO2_0.25ppm_002_samsung test_10.876833_106.6782313.jpg,0.25,002_samsung test_10.876833_106.6782313.jpg
2,15Ukv_ngochanpham274@gmail.com_2024-11-29 11_38_20_NO2_0.9ppm_002_samsung test_10.876833_106.6782313.jpg,0.9,002_samsung test_10.876833_106.6782313.jpg
3,2d7cQ_ngochanpham274@gmail.com_2024-11-29 11_34_05_NO2_0.6ppm_002_samsung test_10.876833_106.6782313.jpg,0.6,002_samsung test_10.876833_106.6782313.jpg
4,2En27_ngochanpham274@gmail.com_2024-11-29 11_56_24_NO2_9ppm_001_samsung test_10.8768544_106.6782314.jpg,9,001_samsung test_10.8768544_106.6782314.jpg
5,314Lk_ngochanpham274@gmail.com_2024-11-29 11_03_36_NO2_0.025ppm_002_samsung test_10.8768398_106.6782302.jpg,0.025,002_samsung test_10.8768398_106.6782302.jpg
6,37F7I_ngochanpham274@gmail.com_2024-11-29 11_28_50_NO2_0.4ppm_001_samsung test_10.876833_106.6782313.jpg,0.4,001_samsung test_10.876833_106.6782313.jpg
7,3p8Kr_ngochanpham274@gmail.com_2024-11-29 11_12_03_NO2_0.06ppm_003_samsung test_10.8768629_106.6782381.jpg,0.06,003_samsung test_10.8768629_106.6782381.jpg
8,4JypM_ngochanpham274@gmail.com_2024-11-29 11_36_41_NO2_0.8ppm_001_samsung test_10.876833_106.6782313.jpg,0.8,001_samsung test_10.876833_106.6782313.jpg
9,5lWN0_ngochanpham274@gmail.com_2024-11-29 11_50_32_NO2_6ppm_002_samsung test_10.8768361_106.6782434.jpg,6,002_samsung test_10.8768361_106.6782434.jpg
10,7iwD8_ngochanpham274@gmail.com_2024-11-29 11_36_52_NO2_0.8ppm_002_samsung test_10.876833_106.6782313.jpg,0.8,002_samsung test_10.876833_106.6782313.jpg
11,8fMS2_ngochanpham274@gmail.com_2024-11-29 11_18_48_NO2_0.08ppm_003_samsung test_10.8768629_106.6782381.jpg,0.08,003_samsung test_10.8768629_106.6782381.jpg
12,9cjV6_ngochanpham274@gmail.com_2024-11-29 11_43_11_NO2_1ppm_002_samsung test_10.8768361_106.6782434.jpg,1,002_samsung test_10.8768361_106.6782434.jpg
13,9knO0_ngochanpham274@gmail.com_2024-11-29 11_31_26_NO2_0.5ppm_002_samsung test_10.876833_106.6782313.jpg,0.5,002_samsung test_10.876833_106.6782313.jpg
14,aqjSE_ngochanpham274@gmail.com_2024-11-29 11_41_54_NO2_1ppm_001__10.8768361_106.6782434.jpg,1,001__10.8768361_106.6782434.jpg
15,Azzis_ngochanpham274@gmail.com_2024-11-29 11_22_17_NO2_0.1ppm_002_samsung test_10.8768629_106.6782381.jpg,0.1,002_samsung test_10.8768629_106.6782381.jpg
16,bX637_ngochanpham274@gmail.com_2024-11-29 11_40_27_NO2_0.9ppm_003__10.8768361_106.6782434.jpg,0.9,003__10.8768361_106.6782434.jpg
17,caQb5_ngochanpham274@gmail.com_2024-11-29 11_49_45_NO2_5ppm_001_samsung test_10.8768361_106.6782434.jpg,5,001_samsung test_10.8768361_106.6782434.jpg
18,CUnUz_ngochanpham274@gmail.com_2024-11-29 11_07_43_NO2_0.05ppm_001_samsung test_10.8768398_106.6782302.jpg,0.05,001_samsung test_10.8768398_106.6782302.jpg
19,dCEIG_ngochanpham274@gmail.com_2024-11-29 11_32_23_NO2_0.6ppm_001_samsung test_10.876833_106.6782313.jpg,0.6,001_samsung test_10.876833_106.6782313.jpg
20,DF7mc_ngochanpham274@gmail.com_2024-11-29 11_30_01_NO2_0.4ppm_003_samsung test_10.876833_106.6782313.jpg,0.4,003_samsung test_10.876833_106.6782313.jpg
21,dqrEz_ngochanpham274@gmail.com_2024-11-29 11_47_18_NO2_2.5ppm_002_samsung test_10.8768361_106.6782434.jpg,2.5,002_samsung test_10.8768361_106.6782434.jpg
22,dXAYA_ngochanpham274@gmail.com_2024-11-29 11_17_47_NO2_0.08ppm_001_samsung test_10.8768629_106.6782381.jpg,0.08,001_samsung test_10.8768629_106.6782381.jpg
23,e0DNq_ngochanpham274@gmail.com_2024-11-29 11_38_22_NO2_0.9ppm_001_samsung test_10.876833_106.6782313.jpg,0.9,001_samsung test_10.876833_106.6782313.jpg
24,E66AS_ngochanpham274@gmail.com_2024-11-29 10_58_44_NO2_0.01ppm_001_samsung test_10.8768398_106.6782302.jpg,0.01,001_samsung test_10.8768398_106.6782302.jpg
25,EGHjj_ngochanpham274@gmail.com_2024-11-29 11_23_51_NO2_0.2ppm_001_samsung test_10.8768629_106.6782381.jpg,0.2,001_samsung test_10.8768629_106.6782381.jpg
26,ElTNq_ngochanpham274@gmail.com_2024-11-29 11_52_36_NO2_6ppm_003_samsung test_10.8768544_106.6782314.jpg,6,003_samsung test_10.8768544_106.6782314.jpg
27,Erroj_ngochanpham274@gmail.com_2024-11-29 11_57_54_NO2_10ppm_002_samsung test_10.8768544_106.6782314.jpg,10,002_samsung test_10.8768544_106.6782314.jpg
28,EyZ3A_ngochanpham274@gmail.com_2024-11-29 11_20_17_NO2_0.09ppm_001_samsung test_10.8768629_106.6782381.jpg,0.09,001_samsung test_10.8768629_106.6782381.jpg
29,fcniX_ngochanpham274@gmail.com_2024-11-29 11_50_12_NO2_6ppm_001_samsung test_10.8768361_106.6782434.jpg,6,001_samsung test_10.8768361_106.6782434.jpg
30,FJlI7_ngochanpham274@gmail.com_2024-11-29 11_29_20_NO2_0.4ppm_002_samsung test_10.876833_106.6782313.jpg,0.4,002_samsung test_10.876833_106.6782313.jpg
31,fluNA_ngochanpham274@gmail.com_2024-11-29 11_07_57_NO2_0.05ppm_002_samsung test_10.8768398_106.6782302.jpg,0.05,002_samsung test_10.8768398_106.6782302.jpg
32,Fwsjt_ngochanpham274@gmail.com_2024-11-29 11_05_06_NO2_0.04ppm_001_samsung test_10.8768398_106.6782302.jpg,0.04,001_samsung test_10.8768398_106.6782302.jpg
33,g633l_ngochanpham274@gmail.com_2024-11-29 11_49_26_NO2_5ppm_003_samsung test_10.8768361_106.6782434.jpg,5,003_samsung test_10.8768361_106.6782434.jpg
34,gX94d_ngochanpham274@gmail.com_2024-11-29 11_35_57_NO2_0.75ppm_002_samsung test_10.876833_106.6782313.jpg,0.75,002_samsung test_10.876833_106.6782313.jpg
35,h3RPr_ngochanpham274@gmail.com_2024-11-29 11_16_11_NO2_0.075ppm_002_samsung test_10.8768629_106.6782381.jpg,0.075,002_samsung test_10.8768629_106.6782381.jpg
36,HCBBd_ngochanpham274@gmail.com_2024-11-29 11_23_42_NO2_0.2ppm_002_samsung test_10.8768629_106.6782381.jpg,0.2,002_samsung test_10.8768629_106.6782381.jpg
37,HFRBp_ngochanpham274@gmail.com_2024-11-29 10_59_24_NO2_0.01ppm_002_samsung test_10.8768398_106.6782302.jpg,0.01,002_samsung test_10.8768398_106.6782302.jpg
