STT,ID_img,ppm,note
1,0QHtr_ngochanpham274@gmail.com_2024-11-19 16_10_55_NH3_8ppm_002_xiaomi test__.jpg,8,002_xiaomi test__.jpg
8,4aQ3P_ngochanpham274@gmail.com_2024-11-19 16_01_57_NH3_4ppm_002_xiaomi test__.jpg,4,002_xiaomi test__.jpg
9,"4D8Rc_ngochanpham274@gmail.com_2024-11-19 14_35_19_NH3_0,01ppm_001_xiaomi test_10.8768275_106.6782714.jpg",0.01,001_xiaomi test_10.8768275_106.6782714.jpg
10,"4onJZ_ngochanpham274@gmail.com_2024-11-19 16_08_44_NH3_7,5ppm_001_xiaomi test__.jpg",7.5,001_xiaomi test__.jpg
13,"6hDNv_ngochanpham274@gmail.com_2024-11-19 15_56_21_NH3_0,8ppm_002_xiaomi test__.jpg",0.8,002_xiaomi test__.jpg
15,"89vx1_ngochanpham274@gmail.com_2024-11-19 15_53_25_NH3_0,75ppm_001_xiaomi test__.jpg",0.75,001_xiaomi test__.jpg
16,"8IayS_ngochanpham274@gmail.com_2024-11-19 15_51_57_NH3_0,6ppm_002_xiaomi test__.jpg",0.6,002_xiaomi test__.jpg
18,8mRlt_ngochanpham274@gmail.com_2024-11-19 16_10_30_NH3_8ppm_001_xiaomi test__.jpg,8,001_xiaomi test__.jpg
21,"9CdKa_ngochanpham274@gmail.com_2024-11-19 15_52_16_NH3_0,6ppm_003_xiaomi test__.jpg",0.6,003_xiaomi test__.jpg
23,9Zr3s_ngochanpham274@gmail.com_2024-11-19 16_13_26_NH3_10ppm_003_xiaomi test__.jpg,10,003_xiaomi test__.jpg
27,B0GaQ_ngochanpham274@gmail.com_2024-11-19 16_00_29_NH3_2ppm_003_xiaomi test__.jpg,2,003_xiaomi test__.jpg
30,"BRVXC_ngochanpham274@gmail.com_2024-11-19 15_56_40_NH3_0,8ppm_003_xiaomi test__.jpg",0.8,003_xiaomi test__.jpg
36,"DdqVx_ngochanpham274@gmail.com_2024-11-19 15_37_58_NH3_0,06ppm_002_xiaomi test_10.8768275_106.6782714.jpg",0.06,002_xiaomi test_10.8768275_106.6782714.jpg
39,"DlbKl_ngochanpham274@gmail.com_2024-11-19 16_09_03_NH3_7,5ppm_002_xiaomi test__.jpg",7.5,002_xiaomi test__.jpg
41,DupPv_ngochanpham274@gmail.com_2024-11-19 16_07_17_NH3_6ppm_002_xiaomi test__.jpg,6,002_xiaomi test__.jpg
46,fkCfG_ngochanpham274@gmail.com_2024-11-19 16_11_15_NH3_8ppm_003_xiaomi test__.jpg,8,003_xiaomi test__.jpg
47,FlmQP_ngochanpham274@gmail.com_2024-11-19 16_04_13_NH3_5ppm_001_xiaomi test__.jpg,5,001_xiaomi test__.jpg
51,"FvCMH_ngochanpham274@gmail.com_2024-11-19 15_40_28_NH3_0,075ppm_001_xiaomi test_10.8768275_106.6782714.jpg",0.075,001_xiaomi test_10.8768275_106.6782714.jpg
52,gaCqC_ngochanpham274@gmail.com_2024-11-19 16_11_56_NH3_10ppm_001_xiaomi test__.jpg,10,001_xiaomi test__.jpg
56,"hE08Q_ngochanpham274@gmail.com_2024-11-19 15_55_59_NH3_0,8ppm_001_xiaomi test__.jpg",0.8,001_xiaomi test__.jpg
57,HfO8C_ngochanpham274@gmail.com_2024-11-19 15_58_41_NH3_1ppm_003_xiaomi test__.jpg,1,003_xiaomi test__.jpg
62,"i6LdN_ngochanpham274@gmail.com_2024-11-19 15_46_08_NH3_0,2ppm_002_xiaomi test_10.8768275_106.6782714.jpg",0.2,002_xiaomi test_10.8768275_106.6782714.jpg
66,"IlJUW_ngochanpham274@gmail.com_2024-11-19 15_38_20_NH3_0,06ppm_003_xiaomi test_10.8768275_106.6782714.jpg",0.06,003_xiaomi test_10.8768275_106.6782714.jpg
69,"jyAD7_ngochanpham274@gmail.com_2024-11-19 15_37_32_NH3_0,06ppm_001_xiaomi test_10.8768275_106.6782714.jpg",0.06,001_xiaomi test_10.8768275_106.6782714.jpg
71,"kdWT4_ngochanpham274@gmail.com_2024-11-19 16_09_33_NH3_7,5ppm_003_xiaomi test__.jpg",7.5,003_xiaomi test__.jpg
73,"koUGV_ngochanpham274@gmail.com_2024-11-19 15_24_45_NH3_0,01ppm_001_xiaomi test_10.8768275_106.6782714.jpg",0.01,001_xiaomi test_10.8768275_106.6782714.jpg
74,"KQ9G0_ngochanpham274@gmail.com_2024-11-19 15_43_21_NH3_0,09ppm_002_xiaomi test_10.8768275_106.6782714.jpg",0.09,002_xiaomi test_10.8768275_106.6782714.jpg
75,KrTvU_ngochanpham274@gmail.com_2024-11-19 16_01_35_NH3_4ppm_001_xiaomi test__.jpg,4,001_xiaomi test__.jpg
77,"l2CW9_ngochanpham274@gmail.com_2024-11-19 15_29_45_NH3_0,025ppm_001_xiaomi test_10.8768275_106.6782714.jpg",0.025,001_xiaomi test_10.8768275_106.6782714.jpg
78,"LfiYT_ngochanpham274@gmail.com_2024-11-19 15_54_10_NH3_0,75ppm_003_xiaomi test__.jpg",0.75,003_xiaomi test__.jpg
81,"m0SYI_ngochanpham274@gmail.com_2024-11-19 15_27_42_NH3_0,01ppm_002_xiaomi test_10.8768275_106.6782714.jpg",0.01,002_xiaomi test_10.8768275_106.6782714.jpg
82,"M4VA5_ngochanpham274@gmail.com_2024-11-19 15_50_18_NH3_0,4ppm_003_xiaomi test__.jpg",0.4,003_xiaomi test__.jpg
83,mcGQf_ngochanpham274@gmail.com_2024-11-19 16_04_42_NH3_5ppm_002_xiaomi test__.jpg,5,002_xiaomi test__.jpg
