STT,ID_img,ppm,note
1,0tNcm_ngochanpham274@gmail.com_2024-11-20 15_36_09_NO2_2ppm_003_xiaomi test__.jpg,2,003_xiaomi test__.jpg
2,1Xe1j_ngochanpham274@gmail.com_2024-11-20 15_40_00_NO2_4ppm_001_Xiaomi test__.jpg,4,001_Xiaomi test__.jpg
3,2ExyN_ngochanpham274@gmail.com_2024-11-20 15_40_24_NO2_4ppm_002_Xiaomi test__.jpg,4,002_Xiaomi test__.jpg
4,"3aoXO_ngochanpham274@gmail.com_2024-11-20 15_15_22_NO2_0,06ppm_001_xiaomi test__.jpg",0.06,001_xiaomi test__.jpg
5,"3R3XM_ngochanpham274@gmail.com_2024-11-20 15_23_55_NO2_0,25ppm_002_xiaomi test__.jpg",0.25,002_xiaomi test__.jpg
6,"3YuIp_ngochanpham274@gmail.com_2024-11-20 15_36_39_NO2_2,5ppm_001_xiaomi test__.jpg",2.5,001_xiaomi test__.jpg
7,"4TCF0_ngochanpham274@gmail.com_2024-11-20 15_36_55_NO2_2,5ppm_002_xiaomi test__.jpg",2.5,002_xiaomi test__.jpg
8,"65nuf_ngochanpham274@gmail.com_2024-11-20 15_11_02_NO2_0,02ppm_003_xiaomi test__.jpg",0.02,003_xiaomi test__.jpg
9,"6jkYj_ngochanpham274@gmail.com_2024-11-20 15_31_52_NO2_0,8ppm_002_xiaomi test__.jpg",0.8,002_xiaomi test__.jpg
10,8J8ZC_ngochanpham274@gmail.com_2024-11-20 15_34_09_NO2_1ppm_001_xiaomi test__.jpg,1,001_xiaomi test__.jpg
11,"8QR1c_ngochanpham274@gmail.com_2024-11-20 15_30_29_NO2_0,75ppm_001_xiaomi test__.jpg",0.75,001_xiaomi test__.jpg
12,"8S8Wv_ngochanpham274@gmail.com_2024-11-20 15_19_38_NO2_0,09ppm_001_xiaomi test__.jpg",0.09,001_xiaomi test__.jpg
13,"9LsIN_ngochanpham274@gmail.com_2024-11-20 15_29_56_NO2_0,6ppm_003_xiaomi test__.jpg",0.6,003_xiaomi test__.jpg
14,"AE7ZC_ngochanpham274@gmail.com_2024-11-20 15_14_48_NO2_0,05ppm_003_xiaomi test__.jpg",0.05,003_xiaomi test__.jpg
15,AlfvX_ngochanpham274@gmail.com_2024-11-20 15_34_47_NO2_1ppm_003_xiaomi test__.jpg,1,003_xiaomi test__.jpg
16,"aODZx_ngochanpham274@gmail.com_2024-11-20 15_12_20_NO2_0,025ppm_003_xiaomi test__.jpg",0.025,003_xiaomi test__.jpg
17,B1QMj_ngochanpham274@gmail.com_2024-11-20 15_48_59_NO2_10ppm_001_Xiaomi test__.jpg,10,001_Xiaomi test__.jpg
18,"Bmxtd_ngochanpham274@gmail.com_2024-11-20 15_27_59_NO2_0,5ppm_003_xiaomi test__.jpg",0.5,003_xiaomi test__.jpg
19,BS9UP_ngochanpham274@gmail.com_2024-11-20 15_46_10_NO2_8ppm_002_Xiaomi test__.jpg,8,002_Xiaomi test__.jpg
20,"bxLtE_ngochanpham274@gmail.com_2024-11-20 15_45_22_NO2_7,5ppm_003_Xiaomi test__.jpg",7.5,003_Xiaomi test__.jpg
21,caHmd_ngochanpham274@gmail.com_2024-11-20 15_43_15_NO2_6ppm_002_Xiaomi test__.jpg,6,002_Xiaomi test__.jpg
22,"cD3ny_ngochanpham274@gmail.com_2024-11-20 15_19_52_NO2_0,09ppm_002_xiaomi test__.jpg",0.09,002_xiaomi test__.jpg
